Species,Scientific Name,Habitat,Protect on USFS,Taxon,Row type,Impact Buffer,Species Specific Guidance,Pre- activity survey,Review Language (DNO),RPM (DNO),Class Type,Review Language (1),RPM (1),RPM Translation (1),Review Language (2),RPM (2),RPM Translation (2),Review Language (3),RPM (3),RPM Translation (3),Review Language (4),RPM (4),RPM Translation (4)
Tecate cypress,Hesperocyparis forbesii,chaparral,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,Tecate cypress (FSS; BLM:S; CRPR 1B.1; Habitat description: chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat).,Standard OMP BMPs.,IIB,Tecate cypress (FSS; BLM:S; CRPR 1B.1; Habitat description: chaparral) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present).,"BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Tecate cypress): A biological survey is required. 

FSS Plant Avoidance (Tecate cypress): If Tecate cypress is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Tecate tarplant,Deinandra floribunda,"arroyos, streambeds, washes, floodplains, and disturbed areas, chaparral, coast live oak riparian woodland, and riparian scrub",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Tecate tarplant (FSS; BLM:S; CRPR 1B.2, Blooming Period: Aug - Nov; Habitat description: arroyos, streambeds, washes, floodplains, and disturbed areas, chaparral, coast live oak riparian woodland, and riparian scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Tecate tarplant (FSS; BLM:S; CRPR 1B.2, Blooming Period: Aug - Nov; Habitat description: arroyos, streambeds, washes, floodplains, and disturbed areas, chaparral, coast live oak riparian woodland, and riparian scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Tecate tarplant): A biological survey is required. 

FSS Plant Avoidance (Tecate tarplant): If Tecate tarplant is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Tecopa bird's-beak,Chloropyron tecopense,alkaline meadows and flats,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Tehachapi buckwheat,Eriogonum callistum,"open limestone outcrops, ridges in chaparral",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Tehachapi monardella,Monardella linoides ssp. oblonga,"gravelly dry slopes, flats in chaparral, conifer woodland/forest",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Tehachapi monardella (FSS; BLM:S; CRPR 1B.3, Blooming Period: Jun - Aug; Habitat description: gravelly dry slopes, flats in chaparral, conifer woodland/forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Tehachapi monardella (FSS; BLM:S; CRPR 1B.3, Blooming Period: Jun - Aug; Habitat description: gravelly dry slopes, flats in chaparral, conifer woodland/forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Tehachapi monardella): A biological survey is required. 

FSS Plant Avoidance (Tehachapi monardella): If Tehachapi monardella is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Tehachapi Mountain silverspot butterfly,Speyeria egleis tehachapina,yellow pine forest,Yes,Invertebrate,Formula,Work area,--,Pre-activity Survey Required,Tehachapi Mountain silverspot butterfly (FSS; Habitat description: yellow pine forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat).,Standard OMP BMPs.,IIB,Tehachapi Mountain silverspot butterfly (FSS; Habitat description: yellow pine forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present).,General Measures and Standard OMP BMPs.,General Measures and Standard OMP BMPs.,--,--,--,--,--,--,--,--,--
Tehachapi pocket mouse,Perognathus alticola inexpectatus,"annual grasslands, pinyon-juniper woodland, Joshua tree woodland, Jeffrey pine forest, and sagebrush and rabbitbrush scrub",Yes,Mammal,Formula,Work area,--,Pre-activity Survey Required,"Tehachapi pocket mouse (CDFW SSC; FSS; Habitat description: annual grasslands, pinyon-juniper woodland, Joshua tree woodland, Jeffrey pine forest, and sagebrush and rabbitbrush scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Tehachapi pocket mouse (CDFW SSC; FSS; Habitat description: annual grasslands, pinyon-juniper woodland, Joshua tree woodland, Jeffrey pine forest, and sagebrush and rabbitbrush scrub) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Mammal-1; 
General Measures and Standard OMP BMPs. ",General Measures and Standard OMP BMPs.,--,--,--,--,--,--,--,--,--
Tehachapi slender salamander,Batrachoseps stebbinsi,"moist canyons, ravines in oak and mixed woodlands in arid locations or near talus slopes; under rocks, logs, bark, and other debris in moist areas, especially in areas with a lot of leaf-litter",Yes,Amphibian,Formula,--,Notify SME if found on USFS,Pre-activity Survey Required,"Tehachapi slender salamander (ST; BLM:S; Habitat description: moist canyons, ravines in oak and mixed woodlands in arid locations or near talus slopes; under rocks, logs, bark, and other debris in moist areas, especially in areas with a lot of leaf-litter) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--). ",--,--,"Tehachapi slender salamander (ST; BLM:S; Habitat description: moist canyons, ravines in oak and mixed woodlands in arid locations or near talus slopes; under rocks, logs, bark, and other debris in moist areas, especially in areas with a lot of leaf-litter) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--). ",Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
Tehama chaparral,Trilobopsis tehamana,"rocky talus near outcrops of limestone, under cover of shrubs, oak, leaf litter or woody debris",Yes,Invertebrate,Formula,Work area,--,Pre-activity Survey Required,"Tehama chaparral (FSS; Habitat description: rocky talus near outcrops of limestone, under cover of shrubs, oak, leaf litter or woody debris) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Tehama chaparral (FSS; Habitat description: rocky talus near outcrops of limestone, under cover of shrubs, oak, leaf litter or woody debris) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ",General Measures and Standard OMP BMPs.,General Measures and Standard OMP BMPs.,--,--,--,--,--,--,--,--,--
Tehama County western flax,Hesperolinon tehamense,"serpentine, chaparral",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Tehipite Valley jewelflower,Streptanthus fenestratus,"granite ledges, sand, open mixed-conifer/oak woodland",Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Tehipite Valley jewelflower (FSS; CRPR 1B.1, Blooming Period: May - Jun; Habitat description: granite ledges, sand, open mixed-conifer/oak woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Tehipite Valley jewelflower (FSS; CRPR 1B.1, Blooming Period: May - Jun; Habitat description: granite ledges, sand, open mixed-conifer/oak woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Tehipite Valley jewelflower): A biological survey is required. 

FSS Plant Avoidance (Tehipite Valley jewelflower): If Tehipite Valley jewelflower is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Tejon jewelflower,Streptanthus medeirosii,"grows on steep north or east-facing slopes with exposed, unstable rocks of carbonate or granitic origin; also occurs in cracks on rock outcrops along a road cut",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Tejon poppy,Eschscholzia lemmonii ssp. kernensis,open grassland,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Telescope Peak bedstraw,Galium hypotrichium ssp. tomentellum,"talus, eastern slopes, rock crevices and outcrops, bristlecone pine",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Temblor buckwheat,Eriogonum temblorense,"flats and slopes of sand, gravel, and decomposed rock; usually granitic material",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Temblor legless lizard,Anniella alexanderae,moist warm loose soil with plant cover including leaf litter under trees and bushes in sunny areas and dunes stabilized with bush lupine and mock heather,Yes,Reptile,Formula,--,Notify SME if found on USFS,Pre-activity Survey Required,Temblor legless lizard (SC; CDFW SSC; Habitat description: moist warm loose soil with plant cover including leaf litter under trees and bushes in sunny areas and dunes stabilized with bush lupine and mock heather) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--).,--,--,Temblor legless lizard (SC; CDFW SSC; Habitat description: moist warm loose soil with plant cover including leaf litter under trees and bushes in sunny areas and dunes stabilized with bush lupine and mock heather) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (--).,Notify SME if found on USFS,Notify SME if found on USFS,--,--,--,--,--,--,--,--,--
thin lobed horkelia,Horkelia tenuiloba,"sandy soils, open chaparral",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Thompson's beardtongue,Penstemon thompsoniae,white calcareous soil in pinyon/juniper woodland,No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Thorne's buckwheat,Eriogonum thornei,pinyon-juniper woodland,Yes,Plant,Formula,Work area,--,Pre-activity Survey Required,"Thorne's buckwheat (SE; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: pinyon-juniper woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"Thorne's buckwheat (SE; CRPR 1B.2, Blooming Period: May - Jul; Habitat description: pinyon-juniper woodland) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (Thorne's buckwheat): A biological survey is required. 

State Threatened Plant Avoidance (Thorne's buckwheat): If Thorne's buckwheatis observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure this State Threatened Plant is fully avoided. Contact SCE BAR if full avoidance cannot be achieved.

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
Thorne's hairstreak,Callophrys thornei,chaparral and woodland; found on patches of tecate cypress (cupressus forbesi) on chaparral-covered dry rocky slopes; sole larval hostplant is tecate cypress (cupressus forbesi),No,Invertebrate,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
Thorne's royal larkspur,Delphinium variegatum ssp. thornei,"grassland, oak woodland",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
thorny milkwort,Polygala acanthoclada,"slopes in shadscale scrub, pinyon-juniper woodland, Joshua tree woodland",No,Plant,Formula,--,Not discussed on USFS.,Pre-activity Survey Required,Not discussed on USFS.,--,--,Not discussed on USFS.,--,--,Not discussed on USFS.,Not discussed on USFS.,Not discussed on USFS.,--,--,--,--,--,--
thread leaved beardtongue,Penstemon filiformis,"open, rocky places among shrubs, yellow-pine forest",Yes,Plant,Formula,Work area,"Only discussed in INF, if reviewing INF apply same RPM's and language as other CRPR 1/2 plant receive. ",Pre-activity Survey Required,"thread leaved beardtongue (INF:SCC; CRPR 4.2, Blooming Period: May - Jul; Habitat description: open, rocky places among shrubs, yellow-pine forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (unsuitable habitat). ",Standard OMP BMPs.,IIB,"thread leaved beardtongue (INF:SCC; CRPR 4.2, Blooming Period: May - Jul; Habitat description: open, rocky places among shrubs, yellow-pine forest) - Within 1-mi of a CNDDB/SCE/USFS occurrence record (habitat present). ","BE BMP Plant-1(a)(c-d); 
General Measures and Standard OMP BMPs. ","Pre-Activity Survey (thread leaved beardtongue): A biological survey is required. 

FSS Plant Avoidance (thread leaved beardtongue): If thread leaved beardtongue is observed during the pre-construction survey within 100-ft of the work or access areas, occurrences will be flagged and a biological monitor will remain onsite for the duration of work to ensure impacts to FSS plants are avoided or minimized. Where avoidance of FSS plants in infeasible, work must be completed between seed set and seedling emergence and when soils are completely dry. 

General Measures and Standard OMP BMPs. ",--,--,--,--,--,--,--,--,--
